fullpart_time,gender,months_work,respect,hr_wage
(1) Full-time worker,(2) Female,10,(1) Strongly agree,21.25
(1) Full-time worker,(2) Female,NA,(2) Agree,NA
(2) Part-time worker,(2) Female,6,(1) Strongly agree,20.37037037038
(1) Full-time worker,(2) Female,1,(1) Strongly agree,10
NA,NA,NA,NA,NA
(1) Full-time worker,(2) Female,12,(2) Agree,NA
(2) Part-time worker,(2) Female,10,(1) Strongly agree,10
(1) Full-time worker,(2) Female,3,(2) Agree,16
(1) Full-time worker,(2) Female,10,(1) Strongly agree,107.5
(1) Full-time worker,(2) Female,12,(4) Disagree,14
(1) Full-time worker,(2) Female,12,(2) Agree,1.28571428571
(1) Full-time worker,(2) Female,12,(2) Agree,8.125
(1) Full-time worker,(2) Female,12,(2) Agree,10.825
(1) Full-time worker,(2) Female,9,(1) Strongly agree,15.6
NA,NA,NA,NA,NA
(2) Part-time worker,(2) Female,6,(2) Agree,14
(1) Full-time worker,(1) Male,10,(2) Agree,13
(2) Part-time worker,(2) Female,12,(1) Strongly agree,16.66666666667
(1) Full-time worker,(2) Female,12,(1) Strongly agree,12.55
(1) Full-time worker,(2) Female,12,(4) Disagree,32.29
(2) Part-time worker,(2) Female,10,(2) Agree,10
NA,(2) Female,12,(1) Strongly agree,12.5
