hourly_wage,staff_role,race,education,birth_year,depression,staff_age,staff_age_new,hr_wage_new
19.375,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1984,3,35,Between 20 and 40,Between $11 and $20
NA,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1988,0,31,Between 20 and 40,NA
14,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1995,7,24,Between 20 and 40,Between $11 and $20
12.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1965,0,54,More than 51,Between $11 and $20
13,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1977,5,42,Between 41 and 50,Between $11 and $20
22,"(2) Teacher, instructor, or lead teacher",NA,(5) Some college credit but no degree,NA,NA,NA,NA,Between $21 and $30
10,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",NA,NA,NA,NA,Less than $10
NA,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1981,3,38,Between 20 and 40,NA
16,(1) Aide or assistant teacher,(1) White Only,(8) Graduate or professional degree,1992,6,27,Between 20 and 40,Between $11 and $20
10.25641025642,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(4) High school graduate,1966,5,53,More than 51,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
7.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1989,0,30,Between 20 and 40,Less than $10
10,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1995,3,24,Between 20 and 40,Less than $10
NA,(1) Aide or assistant teacher,(3) Asian Only,(1) Less than High School,1950,3,69,More than 51,NA
19.31,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1967,0,52,More than 51,Between $11 and $20
14,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1980,3,39,Between 20 and 40,Between $11 and $20
22,(3) Other/undetermined,NA,"(7) Bachelor's degree (BA, BS, AB)",1977,6,42,Between 41 and 50,Between $21 and $30
NA,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1986,0,33,Between 20 and 40,NA
8.88000000001,"(2) Teacher, instructor, or lead teacher",NA,(4) High school graduate,NA,NA,NA,NA,Less than $10
8.25,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1998,4,21,Between 20 and 40,Less than $10
8.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1979,4,40,Between 20 and 40,Less than $10
11,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1995,0,24,Between 20 and 40,Between $11 and $20
15,(1) Aide or assistant teacher,NA,(5) Some college credit but no degree,1996,0,23,Between 20 and 40,Between $11 and $20
35.71428571429,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1974,5,45,Between 41 and 50,More than $31
11.61,(1) Aide or assistant teacher,(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1989,3,30,Between 20 and 40,Between $11 and $20
17.99,(1) Aide or assistant teacher,(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",1988,8,31,Between 20 and 40,Between $11 and $20
17,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1984,3,35,Between 20 and 40,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
12.5,(1) Aide or assistant teacher,(1) White Only,(8) Graduate or professional degree,1984,1,35,Between 20 and 40,Between $11 and $20
12,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1993,5,26,Between 20 and 40,Between $11 and $20
12,(1) Aide or assistant teacher,NA,(4) High school graduate,1987,0,32,Between 20 and 40,Between $11 and $20
13.13,"(2) Teacher, instructor, or lead teacher",NA,(5) Some college credit but no degree,1977,7,42,Between 41 and 50,Between $11 and $20
13.62,(1) Aide or assistant teacher,(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1982,5,37,Between 20 and 40,Between $11 and $20
32.60869565218,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1972,3,47,Between 41 and 50,More than $31
32.82,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1978,0,41,Between 41 and 50,More than $31
19.23076923077,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1958,0,61,More than 51,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1958,3,61,More than 51,NA
8.6,"(2) Teacher, instructor, or lead teacher",NA,"(6) Associate degree (AA, AS)",NA,NA,NA,NA,Less than $10
8.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1989,3,30,Between 20 and 40,Less than $10
NA,NA,NA,NA,NA,NA,NA,NA,NA
12,(1) Aide or assistant teacher,(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",1966,6,53,More than 51,Between $11 and $20
13.1,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1998,0,21,Between 20 and 40,Between $11 and $20
12,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(8) Graduate or professional degree,1975,0,44,Between 41 and 50,Between $11 and $20
10.71428571429,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1998,0,21,Between 20 and 40,NA
10,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1985,1,34,Between 20 and 40,Less than $10
11,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1984,1,35,Between 20 and 40,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,"(6) Associate degree (AA, AS)",1987,0,32,Between 20 and 40,NA
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1958,0,61,More than 51,NA
12,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1978,1,41,Between 41 and 50,Between $11 and $20
11.5,(1) Aide or assistant teacher,(3) Asian Only,(1) Less than High School,1995,3,24,Between 20 and 40,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",NA,"(6) Associate degree (AA, AS)",NA,0,NA,NA,NA
8.75,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1998,2,21,Between 20 and 40,Less than $10
9,(1) Aide or assistant teacher,(2) Black or African American Only,(4) High school graduate,1989,0,30,Between 20 and 40,Less than $10
25,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1976,0,43,Between 41 and 50,Between $21 and $30
14,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1973,3,46,Between 41 and 50,Between $11 and $20
10.13000000001,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1976,0,43,Between 41 and 50,NA
11.42857142858,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1950,NA,69,More than 51,Between $11 and $20
14,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1965,1.166666666667,54,More than 51,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
19,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1989,1,30,Between 20 and 40,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
21.95670731708,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1974,1,45,Between 41 and 50,Between $21 and $30
13.75,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1992,0,27,Between 20 and 40,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(3) GED or high school equivalency,1958,NA,61,More than 51,NA
13,(1) Aide or assistant teacher,(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1990,5,29,Between 20 and 40,Between $11 and $20
NA,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1973,8,46,Between 41 and 50,NA
16,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1970,2.333333333333,49,Between 41 and 50,Between $11 and $20
25.08710801394,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1965,0,54,More than 51,Between $21 and $30
14.82,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1977,7,42,Between 41 and 50,Between $11 and $20
14.89,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1996,14,23,Between 20 and 40,Between $11 and $20
11,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1987,7,32,Between 20 and 40,Between $11 and $20
20,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",NA,1,NA,NA,Between $11 and $20
17,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",1969,0,50,Between 41 and 50,Between $11 and $20
63.33333333334,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1988,0,31,Between 20 and 40,More than $31
51.42857142858,(1) Aide or assistant teacher,NA,(5) Some college credit but no degree,1971,10,48,Between 41 and 50,More than $31
15.55,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1958,2,61,More than 51,Between $11 and $20
10.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1991,9,28,Between 20 and 40,NA
11,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1994,5,25,Between 20 and 40,Between $11 and $20
27.14285714286,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(8) Graduate or professional degree,1968,0,51,More than 51,Between $21 and $30
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1987,0,32,Between 20 and 40,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
14.375,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1985,0,34,Between 20 and 40,Between $11 and $20
10.625,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1979,3,40,Between 20 and 40,NA
40.98333333334,"(2) Teacher, instructor, or lead teacher",(8) Other,"(7) Bachelor's degree (BA, BS, AB)",1980,3,39,Between 20 and 40,More than $31
15.75,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1975,1,44,Between 41 and 50,Between $11 and $20
10.5,(1) Aide or assistant teacher,(1) White Only,(8) Graduate or professional degree,1973,1,46,Between 41 and 50,NA
13.625,"(2) Teacher, instructor, or lead teacher",NA,(5) Some college credit but no degree,NA,NA,NA,NA,Between $11 and $20
10,(1) Aide or assistant teacher,(2) Black or African American Only,(4) High school graduate,1983,1,36,Between 20 and 40,Less than $10
107.32142857143,(1) Aide or assistant teacher,(8) Other,"(6) Associate degree (AA, AS)",1950,0,69,More than 51,More than $31
12,(1) Aide or assistant teacher,(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1994,3,25,Between 20 and 40,Between $11 and $20
9,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1976,0,43,Between 41 and 50,Less than $10
9,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1960,0,59,More than 51,Less than $10
13.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1993,2,26,Between 20 and 40,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1998,9,21,Between 20 and 40,Between $11 and $20
13.25,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1996,1,23,Between 20 and 40,Between $11 and $20
14,"(2) Teacher, instructor, or lead teacher",(1) White Only,(3) GED or high school equivalency,1992,0,27,Between 20 and 40,Between $11 and $20
8.80000000001,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1993,0,26,Between 20 and 40,Less than $10
7.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1998,9,21,Between 20 and 40,Less than $10
9.5,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1982,4,37,Between 20 and 40,Less than $10
12.5,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1965,0,54,More than 51,Between $11 and $20
11.75,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1998,2,21,Between 20 and 40,Between $11 and $20
9.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1971,0,48,Between 41 and 50,Less than $10
20,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1969,0,50,Between 41 and 50,Between $11 and $20
22.22222222223,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1996,1,23,Between 20 and 40,Between $21 and $30
15.5,"(2) Teacher, instructor, or lead teacher",NA,(3) GED or high school equivalency,1977,0,42,Between 41 and 50,Between $11 and $20
25.55555555556,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1950,2,69,More than 51,Between $21 and $30
3,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1964,0,55,More than 51,Less than $10
17,(1) Aide or assistant teacher,NA,(3) GED or high school equivalency,1967,NA,52,More than 51,Between $11 and $20
NA,(1) Aide or assistant teacher,NA,(3) GED or high school equivalency,1969,1,50,Between 41 and 50,NA
9.85,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1998,1,21,Between 20 and 40,Less than $10
NA,NA,NA,NA,NA,NA,NA,NA,NA
10.75,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1987,3,32,Between 20 and 40,NA
9,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(6) Associate degree (AA, AS)",1996,0,23,Between 20 and 40,Less than $10
8,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",NA,0,NA,NA,Less than $10
10,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1986,2,33,Between 20 and 40,Less than $10
12,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1996,0,23,Between 20 and 40,Between $11 and $20
9.25,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1977,0,42,Between 41 and 50,Less than $10
17,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1990,0,29,Between 20 and 40,Between $11 and $20
21,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1958,2,61,More than 51,Between $21 and $30
12.43243243244,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1963,2,56,More than 51,Between $11 and $20
22.22222222223,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1986,7,33,Between 20 and 40,Between $21 and $30
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1950,3,69,More than 51,NA
8.5,(1) Aide or assistant teacher,(2) Black or African American Only,"(6) Associate degree (AA, AS)",1996,4,23,Between 20 and 40,Less than $10
11,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1986,1,33,Between 20 and 40,Between $11 and $20
11.56,"(2) Teacher, instructor, or lead teacher",NA,"(6) Associate degree (AA, AS)",1993,2,26,Between 20 and 40,Between $11 and $20
21.71052631579,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1985,3,34,Between 20 and 40,Between $21 and $30
12,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1996,14,23,Between 20 and 40,Between $11 and $20
13,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1972,1.166666666667,47,Between 41 and 50,Between $11 and $20
12.5,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1983,2,36,Between 20 and 40,Between $11 and $20
14.75,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1990,0,29,Between 20 and 40,Between $11 and $20
15.3,(1) Aide or assistant teacher,NA,"(6) Associate degree (AA, AS)",1984,3,35,Between 20 and 40,Between $11 and $20
33.68421052632,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1980,1,39,Between 20 and 40,More than $31
12.5,(1) Aide or assistant teacher,NA,(5) Some college credit but no degree,1962,0,57,More than 51,Between $11 and $20
10,(1) Aide or assistant teacher,(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",1984,5,35,Between 20 and 40,Less than $10
12.55,"(2) Teacher, instructor, or lead teacher",NA,(1) Less than High School,1986,9,33,Between 20 and 40,Between $11 and $20
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1991,4,28,Between 20 and 40,NA
10.35,(1) Aide or assistant teacher,(2) Black or African American Only,(4) High school graduate,1995,0,24,Between 20 and 40,NA
13,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1989,3,30,Between 20 and 40,Between $11 and $20
10.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1964,0,55,More than 51,NA
19,(1) Aide or assistant teacher,(1) White Only,(8) Graduate or professional degree,1966,0,53,More than 51,Between $11 and $20
18.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1991,1,28,Between 20 and 40,Between $11 and $20
13.62,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1965,0,54,More than 51,Between $11 and $20
13.3918918919,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1987,4,32,Between 20 and 40,Between $11 and $20
13,(1) Aide or assistant teacher,(2) Black or African American Only,"(6) Associate degree (AA, AS)",1982,3,37,Between 20 and 40,Between $11 and $20
16.66666666667,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1950,0,69,More than 51,Between $11 and $20
11,(1) Aide or assistant teacher,NA,(5) Some college credit but no degree,1986,0,33,Between 20 and 40,Between $11 and $20
12.31,(1) Aide or assistant teacher,NA,(4) High school graduate,1994,5,25,Between 20 and 40,Between $11 and $20
18,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,(4) High school graduate,1973,0,46,Between 41 and 50,Between $11 and $20
6.06060606061,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1988,5,31,Between 20 and 40,Less than $10
13.66396761134,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1996,14,23,Between 20 and 40,Between $11 and $20
8.64,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1988,0,31,Between 20 and 40,Less than $10
12,(1) Aide or assistant teacher,NA,(5) Some college credit but no degree,1972,2,47,Between 41 and 50,Between $11 and $20
9.45945945946,"(2) Teacher, instructor, or lead teacher",(8) Other,(8) Graduate or professional degree,1991,8,28,Between 20 and 40,Less than $10
10,"(2) Teacher, instructor, or lead teacher",(1) White Only,(3) GED or high school equivalency,1980,0,39,Between 20 and 40,Less than $10
11.25,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1993,1,26,Between 20 and 40,Between $11 and $20
26.73,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1958,6,61,More than 51,Between $21 and $30
12.38095238096,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1970,0,49,Between 41 and 50,Between $11 and $20
10.5,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1983,0,36,Between 20 and 40,NA
10.41666666667,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1960,4,59,More than 51,NA
11.11111111112,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1978,3,41,Between 41 and 50,Between $11 and $20
14,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1972,0,47,Between 41 and 50,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
11.5,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1981,10,38,Between 20 and 40,Between $11 and $20
11,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1993,0,26,Between 20 and 40,Between $11 and $20
NA,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1964,0,55,More than 51,NA
24,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1983,0,36,Between 20 and 40,Between $21 and $30
10,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,(5) Some college credit but no degree,1984,1,35,Between 20 and 40,Less than $10
11,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1993,12,26,Between 20 and 40,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
15.1,"(2) Teacher, instructor, or lead teacher",(3) Asian Only,"(7) Bachelor's degree (BA, BS, AB)",1994,0,25,Between 20 and 40,Between $11 and $20
10.75,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1962,4,57,More than 51,NA
NA,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1970,3,49,Between 41 and 50,NA
8.25,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1994,0,25,Between 20 and 40,Less than $10
NA,NA,NA,NA,NA,NA,NA,NA,NA
21,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1984,0,35,Between 20 and 40,Between $21 and $30
27.77777777778,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1967,1,52,More than 51,Between $21 and $30
7.5,(1) Aide or assistant teacher,NA,(5) Some college credit but no degree,1998,0,21,Between 20 and 40,Less than $10
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
8.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1988,3,31,Between 20 and 40,Less than $10
12.8,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1975,5,44,Between 41 and 50,Between $11 and $20
15.36,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1961,5,58,More than 51,Between $11 and $20
13.47,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1958,2,61,More than 51,Between $11 and $20
12,"(2) Teacher, instructor, or lead teacher",(2) Black or African American Only,"(7) Bachelor's degree (BA, BS, AB)",1975,0,44,Between 41 and 50,Between $11 and $20
11,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1998,NA,21,Between 20 and 40,Between $11 and $20
11.90166666667,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1998,2,21,Between 20 and 40,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
18.66666666667,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1982,0,37,Between 20 and 40,Between $11 and $20
14,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1991,4,28,Between 20 and 40,Between $11 and $20
32.77777777778,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1978,2,41,Between 41 and 50,More than $31
13,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1969,11,50,Between 41 and 50,Between $11 and $20
8.15857142858,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1993,4,26,Between 20 and 40,Less than $10
16,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1990,5,29,Between 20 and 40,Between $11 and $20
7.125,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1971,1,48,Between 41 and 50,Less than $10
11.40350877193,(1) Aide or assistant teacher,NA,"(7) Bachelor's degree (BA, BS, AB)",1995,11,24,Between 20 and 40,Between $11 and $20
9,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1984,0,35,Between 20 and 40,Less than $10
NA,"(2) Teacher, instructor, or lead teacher",NA,(5) Some college credit but no degree,1958,4,61,More than 51,NA
8.15,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1998,7,21,Between 20 and 40,Less than $10
NA,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1980,1,39,Between 20 and 40,NA
18.75,"(2) Teacher, instructor, or lead teacher",(1) White Only,(5) Some college credit but no degree,1974,0,45,Between 41 and 50,Between $11 and $20
28.57142857143,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1985,1,34,Between 20 and 40,Between $21 and $30
10.89,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1950,1,69,More than 51,NA
14.5,"(2) Teacher, instructor, or lead teacher",NA,(3) GED or high school equivalency,1989,0,30,Between 20 and 40,Between $11 and $20
10,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1983,0,36,Between 20 and 40,Less than $10
11.1,(1) Aide or assistant teacher,(2) Black or African American Only,(4) High school graduate,1974,10,45,Between 41 and 50,Between $11 and $20
14,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1981,10,38,Between 20 and 40,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
9,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1992,0,27,Between 20 and 40,Less than $10
21.33333333334,(1) Aide or assistant teacher,(1) White Only,(1) Less than High School,1996,0,23,Between 20 and 40,Between $21 and $30
NA,NA,NA,NA,NA,NA,NA,NA,NA
21.42857142858,"(2) Teacher, instructor, or lead teacher",(1) White Only,(8) Graduate or professional degree,1971,0,48,Between 41 and 50,Between $21 and $30
9,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1990,0,29,Between 20 and 40,Less than $10
29.16666666667,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1977,2,42,Between 41 and 50,Between $21 and $30
NA,NA,NA,NA,NA,NA,NA,NA,NA
8.6,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1998,2,21,Between 20 and 40,Less than $10
11.3,(1) Aide or assistant teacher,(1) White Only,(5) Some college credit but no degree,1998,13,21,Between 20 and 40,Between $11 and $20
