hourly_wage,staff_role,race,education,birth_year,depression,staff_age,staff_age_new,hr_wage_new
NA,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1985,0,34,Between 20 and 40,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
8.75,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1998,0,21,Between 20 and 40,Less than $10
15,(1) Aide or assistant teacher,NA,NA,NA,2,NA,NA,Between $11 and $20
15.31822674419,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1979,1,40,Between 20 and 40,Between $11 and $20
10.28,(1) Aide or assistant teacher,(1) White Only,(4) High school graduate,1998,5,21,Between 20 and 40,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,(1) Aide or assistant teacher,NA,(5) Some college credit but no degree,NA,NA,NA,NA,NA
9,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1950,0,69,More than 51,Less than $10
12.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,(4) High school graduate,1996,5,23,Between 20 and 40,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
9.375,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1962,2,57,More than 51,Less than $10
11.5,(1) Aide or assistant teacher,(8) Other,(5) Some college credit but no degree,1998,4,21,Between 20 and 40,Between $11 and $20
18.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1986,0,33,Between 20 and 40,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
13,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1986,8,33,Between 20 and 40,Between $11 and $20
13,(1) Aide or assistant teacher,(1) White Only,"(6) Associate degree (AA, AS)",1993,3,26,Between 20 and 40,Between $11 and $20
20.83333333334,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1974,0,45,Between 41 and 50,NA
14.87,(1) Aide or assistant teacher,(1) White Only,"(7) Bachelor's degree (BA, BS, AB)",1958,0,61,More than 51,Between $11 and $20
NA,NA,NA,NA,NA,NA,NA,NA,NA
14,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1992,2.333333333333,27,Between 20 and 40,Between $11 and $20
8,(1) Aide or assistant teacher,(2) Black or African American Only,(5) Some college credit but no degree,1969,3,50,Between 41 and 50,Less than $10
11.5,"(2) Teacher, instructor, or lead teacher",(1) White Only,"(6) Associate degree (AA, AS)",1977,3,42,Between 41 and 50,Between $11 and $20
